[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000677s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run CheckLang Behavior [ RunTime:0.002167s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003037s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run LocationTemplate Behavior [ RunTime:0.001389s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --END-- [ RunTime:0.001517s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_parse ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ParseTemplate Behavior [ RunTime:0.010276s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010394s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ContentReplace Behavior [ RunTime:0.000435s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run TokenBuild Behavior [ RunTime:0.000425s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000254s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ShowRuntime Behavior [ RunTime:0.000514s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001845s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run ShowPageTrace Behavior [ RunTime:0.001117s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ view_end ] --END-- [ RunTime:0.001224s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run CheckRoute Behavior [ RunTime:0.000954s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.001089s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ app_begin ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000714s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run CheckLang Behavior [ RunTime:0.001835s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002750s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | NOTIC: [8] Undefined variable: dbsize IndexAction.class.php 第 27 行.
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_template ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run LocationTemplate Behavior [ RunTime:0.000964s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.001081s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_parse ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run ParseTemplate Behavior [ RunTime:0.027307s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027419s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run ContentReplace Behavior [ RunTime:0.000436s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run TokenBuild Behavior [ RunTime:0.000452s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000291s ]
